LogID,UserID,ActivityType,CaloriesBurned,DateOfActivity,DistanceTraveled,Duration
AL1,U932,Cycling,670,2024-08-20,13.64,24
AL2,U2324,Running,516,2024-06-08,18.12,16
AL3,U375,Running,83,2024-04-03,17.02,41
AL4,U2660,Running,791,2024-10-07,2.01,37
AL5,U1599,Cycling,85,2024-06-05,8.75,11
AL6,U1437,Running,61,2024-10-15,6.14,80
AL7,U72,Cycling,82,2024-03-16,13.6,102
AL8,U1876,Running,644,2024-06-21,13.09,52
AL9,U2542,Running,705,2024-05-08,16.21,20
AL10,U1014,Cycling,278,2024-02-23,14.63,30
AL11,U2321,Weightlifting,389,2024-03-28,9.2,100
AL12,U1138,Running,396,2024-02-26,1.4,48
AL13,U1512,Cycling,669,2024-05-25,12.36,103
AL14,U2199,Weightlifting,527,2024-01-17,14.21,21
AL15,U368,Cycling,337,2024-06-24,4.34,60
AL16,U780,Cycling,587,2024-07-13,10.29,109
AL17,U519,Weightlifting,507,2024-01-08,10.42,35
AL18,U1025,Running,457,2024-09-17,14.19,81
AL19,U2377,Weightlifting,789,2024-01-12,4.73,105
AL20,U2301,Cycling,121,2024-04-11,7.55,29
AL21,U1400,Cycling,615,2024-01-04,10.88,65
AL22,U483,Running,147,2024-09-09,2.28,101
AL23,U2200,Weightlifting,651,2024-07-31,2.85,113
AL24,U156,Weightlifting,253,2024-10-07,19.17,82
AL25,U637,Cycling,257,2024-11-17,14.31,84
AL26,U2690,Cycling,108,2024-10-08,1.84,105
AL27,U1337,Cycling,587,2024-08-31,17.2,106
AL28,U14,Running,336,2024-02-24,6.71,43
AL29,U836,Running,795,2024-11-03,16.17,22
AL30,U1777,Running,142,2024-04-28,14.05,56
AL31,U1328,Running,798,2024-10-23,11,35
AL32,U2262,Cycling,562,2024-01-29,14.08,25
AL33,U1746,Running,420,2024-10-21,3.75,20
AL34,U2348,Running,458,2024-06-30,9.75,87
AL35,U1574,Weightlifting,696,2024-08-06,2.12,64
AL36,U190,Cycling,693,2024-07-31,0.9,60
AL37,U253,Running,551,2024-11-25,19.42,67
AL38,U496,Weightlifting,603,2024-01-24,16.41,100
AL39,U445,Running,238,2024-10-20,10.73,73
AL40,U638,Cycling,342,2024-02-25,10.52,76
AL41,U309,Running,424,2024-04-11,19.62,22
AL42,U1234,Weightlifting,526,2024-10-27,12.6,94
AL43,U1024,Running,432,2024-05-20,5.34,32
AL44,U2545,Weightlifting,708,2024-05-17,6.53,81
AL45,U2489,Weightlifting,527,2024-08-13,8.4,91
AL46,U1968,Weightlifting,282,2024-10-30,9.77,68
AL47,U1701,Weightlifting,257,2024-07-10,19.08,55
AL48,U1442,Weightlifting,539,2024-03-11,19.41,71
AL49,U167,Weightlifting,506,2024-05-01,11.8,68
AL50,U1445,Weightlifting,122,2024-01-23,2.98,56
AL51,U1725,Running,624,2024-06-27,11.9,28
AL52,U2693,Cycling,473,2024-05-04,16.41,28
AL53,U1109,Cycling,96,2024-03-27,6.57,69
AL54,U2306,Weightlifting,269,2024-03-11,14.48,52
AL55,U2057,Running,586,2024-05-02,7.4,60
AL56,U1014,Running,561,2024-09-08,6.7,68
AL57,U2404,Cycling,80,2024-10-30,1.39,68
AL58,U1601,Cycling,184,2024-03-17,0.56,92
AL59,U1588,Cycling,272,2024-01-07,11.47,72
AL60,U2576,Running,586,2024-10-24,9.7,116
AL61,U1638,Cycling,230,2024-03-17,18.74,74
AL62,U2107,Weightlifting,582,2024-02-29,19,39
AL63,U1982,Running,632,2024-10-07,6.08,104
AL64,U1381,Running,177,2024-09-12,5.01,14
AL65,U2095,Running,707,2024-10-12,10.76,71
AL66,U2080,Cycling,512,2024-06-01,8.44,42
AL67,U2630,Weightlifting,693,2024-09-04,10.92,58
AL68,U1300,Weightlifting,570,2024-10-21,7.22,78
AL69,U2793,Weightlifting,782,2024-11-03,11.33,75
AL70,U2403,Running,701,2024-01-18,19.4,17
AL71,U2643,Running,539,2024-01-24,13.39,109
AL72,U2698,Weightlifting,247,2024-04-27,2.42,116
AL73,U1911,Running,157,2024-11-23,19.69,74
AL74,U164,Running,168,2024-01-13,4.55,119
AL75,U1222,Weightlifting,571,2024-03-18,19.44,112
AL76,U62,Weightlifting,277,2024-10-05,12.22,46
AL77,U1760,Weightlifting,375,2024-07-16,19.73,41
AL78,U1258,Cycling,266,2024-01-20,15.14,40
AL79,U142,Running,272,2024-10-27,4.12,55
AL80,U1183,Running,667,2024-04-18,7.86,98
AL81,U1128,Cycling,379,2024-03-13,9.1,52
AL82,U816,Running,676,2024-10-05,11.19,104
AL83,U2540,Weightlifting,465,2024-11-08,4.8,41
AL84,U1094,Weightlifting,490,2024-02-19,18.56,110
AL85,U2775,Cycling,378,2024-04-21,19.42,63
AL86,U2422,Weightlifting,691,2024-10-26,8.33,41
AL87,U1190,Weightlifting,77,2024-04-05,16.99,104
AL88,U2941,Weightlifting,698,2024-11-14,18.2,78
AL89,U2559,Weightlifting,680,2024-02-13,18.22,21
AL90,U2152,Weightlifting,358,2024-09-20,1.65,91
AL91,U1785,Cycling,773,2024-02-12,11.58,106
AL92,U975,Running,282,2024-01-01,6.7,41
AL93,U2527,Cycling,563,2024-01-14,12.71,87
AL94,U907,Cycling,740,2024-01-30,12.06,41
AL95,U1542,Cycling,381,2024-02-01,17.16,101
AL96,U693,Cycling,225,2024-07-26,5.5,27
AL97,U1821,Weightlifting,575,2024-06-19,3.29,14
AL98,U1151,Cycling,332,2024-05-25,4.81,44
AL99,U2552,Weightlifting,799,2024-07-18,16.95,54
AL100,U2920,Running,424,2024-05-04,0.73,58
AL101,U882,Weightlifting,121,2024-01-26,18.12,101
AL102,U1211,Cycling,671,2024-11-19,1.48,25
AL103,U2624,Cycling,549,2024-09-06,8.6,23
AL104,U532,Weightlifting,774,2024-02-03,16.58,90
AL105,U888,Running,697,2024-09-01,15.4,51
AL106,U422,Running,611,2024-11-10,3.44,82
AL107,U524,Cycling,416,2024-01-18,8.55,66
AL108,U987,Weightlifting,446,2024-09-07,18.98,79
AL109,U2283,Running,101,2024-03-05,19.2,91
AL110,U422,Running,266,2024-03-23,9.55,105
AL111,U1733,Running,687,2024-11-25,2.28,19
AL112,U1900,Weightlifting,153,2024-04-01,11.58,40
AL113,U2675,Weightlifting,182,2024-03-13,11.05,56
AL114,U1750,Cycling,563,2024-07-31,7.1,17
AL115,U579,Weightlifting,172,2024-05-05,6.13,44
AL116,U1159,Weightlifting,530,2024-04-26,10.34,24
AL117,U1224,Weightlifting,748,2024-05-26,6.07,115
AL118,U1699,Weightlifting,138,2024-02-14,2.93,82
AL119,U354,Weightlifting,441,2024-02-10,15.14,58
AL120,U2665,Running,271,2024-06-14,10.66,46
AL121,U1628,Weightlifting,110,2024-07-29,8.97,62
AL122,U380,Running,511,2024-05-27,14.68,17
