LogID,UserID,MealName,CalorieCount,Macronutrients,MealCategory,DateLogged
NL1,U2216,eye,837,"Carbs: 64, Proteins: 22, Fats: 29",Dinner,2024-07-30
NL2,U1419,edge,212,"Carbs: 74, Proteins: 10, Fats: 12",Lunch,2024-08-13
NL3,U844,be,853,"Carbs: 39, Proteins: 16, Fats: 22",Lunch,2024-10-13
NL4,U1016,world,404,"Carbs: 58, Proteins: 33, Fats: 26",Snack,2024-06-17
NL5,U899,church,832,"Carbs: 79, Proteins: 26, Fats: 11",Snack,2024-07-10
NL6,U1840,example,543,"Carbs: 69, Proteins: 14, Fats: 17",Snack,2024-04-02
NL7,U1820,production,885,"Carbs: 46, Proteins: 49, Fats: 27",Snack,2024-06-01
NL8,U1901,success,1075,"Carbs: 21, Proteins: 36, Fats: 23",Dinner,2024-05-17
NL9,U2860,art,271,"Carbs: 76, Proteins: 36, Fats: 20",Dinner,2024-07-20
NL10,U90,reduce,635,"Carbs: 46, Proteins: 32, Fats: 8",Dinner,2024-08-30
NL11,U662,team,966,"Carbs: 98, Proteins: 46, Fats: 30",Lunch,2024-06-15
NL12,U2012,yard,1456,"Carbs: 39, Proteins: 49, Fats: 16",Breakfast,2024-10-29
NL13,U2872,age,865,"Carbs: 88, Proteins: 37, Fats: 23",Lunch,2024-09-30
NL14,U1272,skin,885,"Carbs: 45, Proteins: 24, Fats: 14",Dinner,2024-07-24
NL15,U2708,among,1112,"Carbs: 80, Proteins: 21, Fats: 29",Lunch,2024-03-07
NL16,U457,design,1251,"Carbs: 97, Proteins: 13, Fats: 10",Breakfast,2024-09-21
NL17,U128,how,242,"Carbs: 48, Proteins: 15, Fats: 14",Snack,2024-05-13
NL18,U1322,chair,959,"Carbs: 36, Proteins: 32, Fats: 15",Lunch,2024-09-08
NL19,U594,enjoy,1216,"Carbs: 15, Proteins: 10, Fats: 15",Lunch,2024-07-23
NL20,U2094,bag,455,"Carbs: 41, Proteins: 50, Fats: 13",Dinner,2024-02-23
NL21,U2029,of,295,"Carbs: 33, Proteins: 46, Fats: 13",Breakfast,2024-03-07
NL22,U1204,moment,351,"Carbs: 30, Proteins: 48, Fats: 9",Breakfast,2024-10-25
NL23,U1676,right,255,"Carbs: 38, Proteins: 43, Fats: 28",Snack,2024-09-18
NL24,U2611,while,374,"Carbs: 97, Proteins: 28, Fats: 26",Dinner,2024-03-26
NL25,U1453,quite,894,"Carbs: 13, Proteins: 15, Fats: 13",Lunch,2024-11-21
NL26,U2443,author,677,"Carbs: 95, Proteins: 33, Fats: 22",Snack,2024-07-29
NL27,U1728,wide,341,"Carbs: 73, Proteins: 32, Fats: 13",Snack,2024-07-09
NL28,U2725,national,463,"Carbs: 43, Proteins: 21, Fats: 17",Lunch,2024-07-11
NL29,U2485,page,236,"Carbs: 56, Proteins: 10, Fats: 29",Breakfast,2024-02-13
NL30,U938,project,757,"Carbs: 81, Proteins: 36, Fats: 18",Lunch,2024-01-06
NL31,U1931,notice,1491,"Carbs: 59, Proteins: 13, Fats: 27",Dinner,2024-07-11
NL32,U1465,protect,804,"Carbs: 74, Proteins: 36, Fats: 15",Breakfast,2024-03-03
NL33,U2155,window,760,"Carbs: 37, Proteins: 46, Fats: 20",Lunch,2024-10-09
