TrainerID,PersonID,Specialization,TrainerRating
T1,P476,Industrial buyer,3.4
T2,P2853,"Scientist, biomedical",4.4
T3,P2826,Public house manager,4.6
T4,P2342,Special effects artist,4.4
T5,P2465,Special educational needs teacher,3.7
T6,P2235,Trade mark attorney,3.3
T7,P1323,Cartographer,3.6
T8,P275,Hydrographic surveyor,3.5
T9,P2113,Sport and exercise psychologist,4.7
T10,P2366,Sports therapist,4.5
T11,P2571,Local government officer,4.2
T12,P1263,Research scientist (medical),3.2
T13,P1559,Public relations account executive,4.5
T14,P534,Land/geomatics surveyor,3.2
T15,P1292,Make,3.1
T16,P2555,Interpreter,4.3
T17,P1931,Pension scheme manager,4.3
T18,P2419,"Surveyor, building control",3.8
T19,P2928,Tree surgeon,3.2
T20,P1904,Banker,3.1
T21,P56,Economist,3.8
T22,P998,Seismic interpreter,3.7
T23,P170,"Restaurant manager, fast food",3.8
T24,P2101,Charity officer,3.7
T25,P1783,"Presenter, broadcasting",3.3
T26,P911,"Doctor, general practice",4.9
T27,P991,Field seismologist,3.8
T28,P1620,Editorial assistant,4.0
T29,P1928,"Psychologist, prison and probation services",4.7
T30,P2354,"Designer, multimedia",4.2
T31,P2337,Estate manager/land agent,4.2
T32,P2325,Data processing manager,4.6
T33,P197,"Lighting technician, broadcasting/film/video",4.0
T34,P420,"Pharmacist, hospital",3.7
T35,P2194,Speech and language therapist,3.0
T36,P635,Visual merchandiser,3.7
T37,P135,Public relations account executive,5.0
T38,P1598,Financial adviser,4.3
T39,P1418,Printmaker,4.6
T40,P1913,Copy,3.4
T41,P932,Pensions consultant,4.7
T42,P1542,"Buyer, industrial",4.5
T43,P1014,"Exhibitions officer, museum/gallery",3.7
T44,P1238,Hospital pharmacist,4.1
T45,P2463,Herbalist,3.8
T46,P2167,Personnel officer,3.7
T47,P475,Environmental consultant,3.1
T48,P913,Osteopath,3.9
T49,P1153,"Teacher, music",4.6
T50,P360,Product designer,5.0
T51,P2776,"Designer, exhibition/display",4.5
T52,P2374,Radio broadcast assistant,5.0
T53,P1775,Magazine journalist,4.2
T54,P1036,Research scientist (physical sciences),4.9
T55,P2000,"Engineer, materials",4.9
T56,P963,Chief Financial Officer,3.7
T57,P219,Data processing manager,4.1
T58,P2017,"Psychotherapist, child",3.3
T59,P2871,"Copywriter, advertising",4.7
T60,P649,"Designer, fashion/clothing",3.7
T61,P1920,Analytical chemist,5.0
T62,P1717,Video editor,3.4
T63,P1548,Public house manager,3.6
T64,P2987,Insurance risk surveyor,4.2
T65,P46,Higher education careers adviser,3.3
T66,P1087,Educational psychologist,4.4
T67,P2005,Microbiologist,4.8
T68,P151,Bookseller,3.8
T69,P1918,Holiday representative,4.0
T70,P1149,Tree surgeon,3.3
T71,P2012,Theatre stage manager,4.5
T72,P1827,Merchant navy officer,3.2
T73,P144,"Librarian, public",3.7
T74,P2224,Technical sales engineer,3.6
T75,P2029,"Psychologist, prison and probation services",4.9
T76,P1583,Textile designer,4.8
T77,P317,Records manager,3.8
T78,P1108,"Civil engineer, contracting",3.7
T79,P1078,Radiation protection practitioner,3.4
T80,P120,Health and safety adviser,3.9
T81,P2052,Advertising account executive,3.0
T82,P1440,"Journalist, magazine",3.3
T83,P2854,"Therapist, nutritional",3.1
T84,P976,Farm manager,3.8
T85,P40,Arts development officer,4.1
T86,P380,"Chemist, analytical",3.6
T87,P2915,"Designer, exhibition/display",4.7
T88,P2982,Economist,3.5
T89,P718,Technical author,4.2
T90,P281,Oncologist,3.3
T91,P527,Consulting civil engineer,3.8
T92,P2250,"Therapist, drama",3.7
T93,P935,Insurance claims handler,3.5
T94,P304,Information systems manager,4.1
T95,P908,Hydrologist,3.2
T96,P2829,Corporate treasurer,3.7
T97,P1676,Aid worker,3.7
T98,P740,Market researcher,3.3
T99,P2691,Prison officer,3.1
T100,P2939,Commissioning editor,4.2
T101,P1255,Clinical psychologist,4.7
T102,P2832,Catering manager,4.0
T103,P1196,Soil scientist,3.6
T104,P2195,Tour manager,3.8
T105,P1653,Sales executive,4.6
T106,P558,"Pharmacist, hospital",3.6
T107,P1327,IT trainer,3.9
T108,P886,Charity officer,4.8
T109,P2279,"Geologist, wellsite",4.4
T110,P1614,Pensions consultant,4.2
T111,P1520,Video editor,4.6
T112,P1110,Data scientist,3.8
T113,P1866,Charity fundraiser,4.1
T114,P1708,Musician,3.3
T115,P1835,Sports development officer,5.0
T116,P2796,"Psychologist, educational",4.7
T117,P1912,Chartered loss adjuster,4.9
T118,P2714,Animal nutritionist,4.3
T119,P28,Quantity surveyor,4.4
T120,P382,"Horticulturist, amenity",4.1
T121,P2020,Games developer,4.4
T122,P1355,Tax adviser,4.2
T123,P2683,Scientific laboratory technician,3.9
T124,P1681,Secondary school teacher,4.7
T125,P2249,Airline pilot,3.7
T126,P1197,Field seismologist,3.9
T127,P972,"Education officer, museum",3.6
T128,P2961,"Engineer, automotive",4.5
T129,P883,"Scientist, audiological",3.8
T130,P223,Armed forces technical officer,3.8
T131,P1075,Clinical biochemist,5.0
T132,P1279,"Scientist, biomedical",4.7
T133,P1819,Chartered public finance accountant,4.2
T134,P1857,Garment/textile technologist,4.5
T135,P1881,IT consultant,4.7
T136,P1578,"Scientist, water quality",3.4
T137,P2268,Recycling officer,3.1
T138,P805,"Engineer, chemical",3.8
T139,P2049,Legal executive,4.4
T140,P1080,Hospital doctor,4.2
T141,P1720,Hospital doctor,3.7
T142,P2858,"Psychologist, educational",3.6
T143,P2285,Visual merchandiser,3.5
T144,P2627,"Therapist, art",3.7
T145,P2904,Chartered certified accountant,3.1
T146,P2077,Manufacturing systems engineer,3.9
T147,P1262,Fish farm manager,3.3
T148,P603,Tree surgeon,3.6
T149,P1732,Fitness centre manager,3.7
T150,P266,Health service manager,4.0
T151,P412,Sports administrator,4.9
T152,P7,Financial trader,4.2
T153,P1534,Estate agent,4.1
T154,P469,Occupational therapist,3.5
T155,P1622,"Lecturer, higher education",3.1
T156,P2946,"Engineer, drilling",4.1
T157,P2672,Town planner,4.8
T158,P2298,Air traffic controller,4.8
T159,P2003,Adult nurse,4.4
T160,P331,Music tutor,4.9
T161,P625,Sales executive,4.7
T162,P2072,Interior and spatial designer,4.6
T163,P1957,"Radiographer, diagnostic",3.9
T164,P769,Art gallery manager,4.7
T165,P384,"Scientist, research (medical)",4.2
T166,P2628,"Education officer, environmental",3.9
T167,P2560,Insurance underwriter,3.4
T168,P1419,Teaching laboratory technician,4.6
T169,P1095,Public affairs consultant,3.4
T170,P2307,Health and safety adviser,4.6
T171,P2422,"Engineer, mining",4.4
T172,P629,"Research officer, government",3.9
T173,P1044,"Surveyor, building",3.5
T174,P888,"Engineer, site",3.9
T175,P2805,"Radiographer, therapeutic",4.4
T176,P445,Administrator,5.0
T177,P2836,Electrical engineer,4.7
T178,P1803,Special effects artist,3.3
T179,P322,Artist,4.5
T180,P854,Interpreter,4.7
T181,P627,Dispensing optician,3.4
T182,P2064,"Librarian, public",4.6
T183,P1073,Tour manager,3.4
T184,P1114,Naval architect,3.5
T185,P758,Fast food restaurant manager,4.7
T186,P1966,"Scientist, product/process development",4.5
T187,P592,Insurance account manager,3.8
T188,P511,Commercial/residential surveyor,3.9
T189,P962,Dietitian,4.2
T190,P2766,Television floor manager,4.4
T191,P76,Multimedia specialist,3.5
T192,P653,Petroleum engineer,4.7
T193,P2789,"Physicist, medical",3.9
T194,P1600,"Therapist, speech and language",4.8
T195,P1421,Systems developer,4.9
T196,P923,Education administrator,4.3
T197,P1853,Archaeologist,4.6
T198,P2317,Film/video editor,4.2
T199,P1539,Site engineer,4.9
T200,P418,Private music teacher,3.8
T201,P2609,"Lighting technician, broadcasting/film/video",3.1
T202,P2476,Insurance broker,3.1
T203,P1528,Chief Executive Officer,4.7
T204,P2404,Chief Operating Officer,4.4
T205,P1105,Cabin crew,4.8
T206,P1477,Microbiologist,4.3
T207,P2573,Learning mentor,3.2
T208,P2549,"Designer, industrial/product",3.5
T209,P1778,Retail manager,3.8
T210,P1690,Geoscientist,4.8
T211,P2414,Astronomer,3.6
T212,P2501,Psychotherapist,4.2
T213,P2940,Warehouse manager,4.9
T214,P1354,Physiological scientist,5.0
T215,P2827,Community development worker,3.3
T216,P2656,Sports therapist,4.5
T217,P2186,Health physicist,3.9
T218,P1194,Communications engineer,3.4
T219,P1000,"Engineer, broadcasting (operations)",4.6
T220,P1349,"Radiographer, diagnostic",3.8
T221,P2641,Medical secretary,3.4
T222,P2510,Engineering geologist,3.6
T223,P1845,Archaeologist,3.5
T224,P2497,IT technical support officer,4.5
T225,P2471,Chartered legal executive (England and Wales),3.2
T226,P1971,Comptroller,5.0
T227,P2370,Retail banker,3.9
T228,P2611,Health promotion specialist,4.3
T229,P766,Music tutor,4.7
T230,P1526,Financial manager,3.7
T231,P2120,"Programmer, systems",4.9
T232,P2121,"Teacher, adult education",3.1
T233,P680,Pathologist,3.9
T234,P559,Intelligence analyst,4.5
T235,P983,Diagnostic radiographer,3.2
T236,P785,Homeopath,4.5
T237,P608,Administrator,4.5
T238,P321,Exercise physiologist,3.2
T239,P1200,Advertising account planner,3.0
T240,P828,"Psychologist, forensic",3.1
T241,P303,Drilling engineer,4.8
T242,P2081,"Producer, radio",5.0
T243,P295,"Scientist, biomedical",3.9
T244,P2297,Occupational psychologist,5.0
T245,P2922,Tourism officer,4.1
