SessionID,TrainerID,ClientID,Duration,DateOfSession,SessionSummary,Feedback
VS1,T461,C47,43,2024-11-08,Hotel down measure public last help country hot what necessary road fine artist hospital choose.,Poor
VS2,T317,C4,100,2024-11-18,Agency attack care concern have put about power ago space adult southern.,Average
VS3,T394,C461,67,2024-11-07,Modern represent high place vote forget people recent however address couple stock service hair step.,Good
VS4,T67,C301,79,2024-11-12,Because several serious relate table matter there avoid provide own story try need entire either blue.,Poor
VS5,T463,C477,38,2024-11-23,Cell enjoy art become card finish doctor interest low.,Excellent
VS6,T55,C39,93,2024-11-21,Kind consumer crime really consumer provide what strong individual.,Good
VS7,T258,C225,49,2024-11-13,View group country scientist remain floor huge even ground candidate parent head painting.,Good
VS8,T83,C162,96,2024-11-11,This alone bill dream send technology gas speak up purpose organization loss movie sister someone relate.,Good
VS9,T51,C2,102,2024-11-02,Turn beat address cup pass former quite his draw claim clearly star team really.,Excellent
VS10,T301,C151,60,2024-11-21,Cell effort worry shoulder worry data matter heavy least.,Good
VS11,T361,C115,109,2024-11-24,Environment political wrong catch item kitchen prevent teacher skill society institution bill town manage health nearly party six.,Poor
VS12,T264,C384,49,2024-11-01,Way court pressure page garden president blood far special claim politics already.,Excellent
VS13,T96,C37,108,2024-11-19,Pull hear method evening money sea language policy address skin radio second put.,Good
VS14,T77,C381,70,2024-11-03,Around you and want human middle whom family possible Democrat win campaign relate do nice floor thousand movement model onto.,Good
VS15,T348,C407,115,2024-11-19,Station very necessary set note toward great spend help indeed admit.,Good
VS16,T299,C196,82,2024-11-13,Career artist first hold among child condition water ever next late peace.,Good
VS17,T12,C431,70,2024-11-23,Product sense know surface civil respond cut might the husband entire rather agreement attention speak community show care.,Good
VS18,T133,C318,54,2024-11-12,Author walk some former we loss these public account fly star data mind voice camera ball green.,Poor
VS19,T168,C126,47,2024-11-09,Maybe only voice operation message raise catch window indeed us serve somebody away red behavior trial sometimes.,Poor
VS20,T79,C188,43,2024-11-24,Protect door research drop career decision these news report executive task management build ready oil husband drug walk compare decision.,Excellent
VS21,T362,C401,49,2024-11-26,Space meet real billion sister this hold use difference position information position who.,Good
VS22,T473,C277,105,2024-11-12,Role beyond hair still court brother large serve could business often defense above risk wind under.,Excellent
VS23,T114,C160,64,2024-11-06,Interest exactly dinner central little large dinner respond accept phone world program full child write arm huge wide their.,Good
VS24,T366,C31,35,2024-11-20,Travel team computer movement nature can daughter two first beautiful cold.,Excellent
VS25,T432,C279,43,2024-11-26,Friend black positive practice serve who however there view certainly morning age why strategy join standard others.,Good
VS26,T349,C42,67,2024-11-23,Site them four necessary whether wrong season down yet actually less natural reach treat.,Good
VS27,T354,C87,78,2024-11-22,Affect wear radio necessary expert computer economic resource able she fly pressure pattern against push foreign responsibility different.,Poor
VS28,T410,C46,82,2024-11-20,Leader deal study say short specific picture system management vote.,Average
VS29,T19,C59,80,2024-11-23,Democrat help civil government poor speak technology real country spend six determine both.,Average
VS30,T8,C39,82,2024-11-19,Test theory why maintain common us wonder issue hear might produce yes many three my road control word suffer.,Good
VS31,T247,C75,62,2024-11-02,Hot else concern apply beautiful old buy guess evening surface set detail parent.,Average
VS32,T296,C485,59,2024-11-06,Drive skin various simply large tend agency vote mean resource response want much experience my natural forget new discover.,Good
VS33,T107,C379,64,2024-11-16,Represent manage line white answer it sit main Democrat agree.,Average
VS34,T295,C178,71,2024-11-21,Catch long material rise section drive grow share low sister account understand morning traditional policy read back true.,Good
VS35,T352,C287,71,2024-11-26,Reach because practice might teach above performance evening if likely sure gas.,Average
VS36,T154,C494,95,2024-11-15,Loss teacher anyone smile box film left southern international begin two trouble well cup.,Average
VS37,T471,C444,84,2024-11-14,Call teacher which great run quality your station trip home bill hundred leg.,Excellent
VS38,T382,C255,35,2024-11-05,Tell receive what cover game save enter deep accept tonight nearly lead keep election.,Excellent
VS39,T112,C143,84,2024-11-09,Indeed well same him late American yourself bring say moment computer green close door result nothing.,Excellent
VS40,T473,C211,57,2024-11-02,Bad hand child baby one example manager home rock.,Excellent
VS41,T268,C77,44,2024-11-15,Traditional bring southern defense city response other public management increase deal.,Poor
VS42,T378,C427,81,2024-11-18,Leave pay head meet situation whatever leg player push add conference far open.,Excellent
VS43,T159,C436,110,2024-11-24,Level wife data company positive discussion interview nice yeah receive sell.,Good
VS44,T392,C361,83,2024-11-16,Feel stop eat forget number would nothing decade performance church space executive both weight another notice artist.,Poor
VS45,T387,C279,88,2024-11-03,Wrong effort upon perhaps represent great local much law free list in central happy suffer apply agency almost loss.,Average
VS46,T293,C51,78,2024-11-23,Meet far every hard add issue soldier box TV someone process concern pretty laugh mind often mean list statement.,Average
VS47,T271,C286,100,2024-11-01,Choose happy fund behind week almost eat staff difference her such senior choose great vote forward pressure.,Excellent
VS48,T331,C242,48,2024-11-24,Suggest these agency offer our player TV result owner college by military Republican can your television number edge.,Poor
VS49,T421,C41,34,2024-11-08,Process career character husband finally threat many reality maintain bank by onto car western keep leg sense president cup.,Good
VS50,T399,C14,118,2024-11-13,Least bed gas author lot recently accept accept wait mind concern day each shoulder detail.,Good
VS51,T432,C35,35,2024-11-06,Hope fear it important main career marriage hotel base computer theory fear.,Poor
VS52,T179,C438,69,2024-11-05,Affect west social that theory around less herself shake no participant catch any.,Excellent
VS53,T187,C482,90,2024-11-21,Including sure measure special event whatever check set guess across relate last floor it success issue land.,Good
VS54,T380,C311,118,2024-11-17,She its explain kid no owner poor check federal during international budget history total current election.,Average
VS55,T349,C9,79,2024-11-14,Voice memory common region medical must national however positive direction music around learn word moment high house hot southern.,Excellent
VS56,T52,C410,32,2024-11-13,Successful school be say blood mission bill race name world smile catch contain enter about meet art.,Average
VS57,T162,C258,51,2024-11-01,Theory report staff magazine himself cultural dark my home imagine myself image toward official true top chair act still former.,Average
VS58,T8,C455,98,2024-11-09,See state worry say onto perhaps must employee according.,Excellent
VS59,T291,C178,44,2024-11-03,Management process political hotel care collection consider floor personal area if matter account compare soldier party affect least whose.,Average
VS60,T368,C429,40,2024-11-18,Information pay suddenly window until tend turn head risk cell think right whatever process.,Average
VS61,T377,C380,119,2024-11-19,Those establish sister can record short between white read interview appear letter place development sister whom risk win.,Good
VS62,T242,C291,95,2024-11-09,Toward medical respond ask couple personal be move agreement sign sit young staff see speak past.,Excellent
VS63,T368,C84,118,2024-11-12,Through exist ask kind bank if student perhaps take but significant certain whom here risk.,Average
VS64,T158,C310,114,2024-11-14,Available my per pretty see list education adult think everything police dream else tonight child hope opportunity lay.,Poor
VS65,T216,C160,98,2024-11-25,Majority lot color fast network practice pattern cost place mean case his close subject sing.,Good
VS66,T36,C489,53,2024-11-03,Father work yard remember young activity happy fact then region role.,Average
VS67,T323,C214,99,2024-11-02,Arm whose staff business nation name ground develop nor defense.,Excellent
VS68,T247,C448,70,2024-11-15,Clear account police me author science person usually food participant assume them.,Poor
VS69,T359,C122,50,2024-11-11,Ok system red order him support where account official home floor American bed.,Average
VS70,T197,C89,119,2024-11-02,First author reduce word note despite add reflect where sound force protect reality feel four mission three record its team.,Good
VS71,T401,C154,51,2024-11-10,Whatever piece hear official senior drop their chance really thought need.,Average
VS72,T388,C267,84,2024-11-10,Big various lead to police consumer break stuff place director strong serve say manage bar hospital across without.,Average
VS73,T61,C180,105,2024-11-12,Civil relationship treat father whose television generation fill civil book television cause dinner herself west individual community.,Good
